Date,Genre,format?, language ,binding,audience,Publisher?,series,EDITION, illustrated ,AWARD WINNING,BESTSELLER TIER,age_group,Region Setting,authorNationality,Signed?,pages,Chapters,WORD COUNT,rating ⭐?,PRINT RUN, rrp£ ,discount %,stock_units,reprints/,FILM RIGHTS £
2021-09-22,biography,paperback,FRENCH,Stapled,missing,simon_&_schuster,NaN,2nd,no,yes,top-10,6-12,asia,us, no ,£1404,18138," 5,668",8702,"12,499",9850,16691,6668,19738,missing
-999,sci-fi,HARDBACK, German ,Stapled,adult,,Yes,1st,No,no,top-10,18+, oceania ,canada, NO ,£880,£5127,8612,18684,   328,7241,16570,2038,7094,
"Oct 24, 2024",history,NA,spanish,spiral,children,penguin,-999,3rd,Yes,NaN,LONG-TAIL,NaN,OCEANIA,canada,no,"15,424",16239,£7307,4074,5976,£16794,missing,17666,£10703,14466
14/09/2024,fantasy,hardback,french,glue, Ya ,simon&Schuster, yes ,1st,no,NO,top-100,6-12,africa,india,yes,2725," 9,554",13273,2167,4178," 2,600",13850,NaN,"11,368",15054
23/07/2023,Biography,PAPERBACK,english,SEWN,Children,Simon & Schuster,missing,Revised, NO ,Yes,top-100,0-5,Americas,US,no,NA,£7781,£11869,779,NA,£5224,5906," 6,468","18,277",12787
"Apr 18, 2022",sci-Fi,ebook,german,NA,CHILDREN,penguin,yes,1st,yes, yes ,TOP-100,13-17,-999,INDIA,no,£16975,4406,4066,£3226,£18655,missing,4645," 5,896",9070,18045
21/10/2024,FANTASY,AUDIOBOOK,french,sewn,,penguin, Yes ,3rd,YES, no ,top-10,18+,NA,india,Yes," 6,912",£819,604,"17,032",14986,7505,7983,9068," 8,796",13475
2021-02-08,History,Hardback,English,stapled,YA, SIMON & SCHUSTER ,NO,1ST,no,no,top-10,6-12,europe,Canada,NO,,1561,NA,£17788,"19,989",14327,3410,£4675,15031,£138
,fantasy,ebook,Japanese,-999,ya,NaN,missing,1st,NA,no,top-10,6-12,europe,-999,No,2422,16066,2696,4764,18197,£1024,£5362,15052," 1,255","13,846"
2022-05-03,BIOGRAPHY,Ebook,GERMAN,spiral,NA,SIMON & SCHUSTER,yes,REVISED,no,,top-10,0-5,oceania,-999,yes,19306,18510,9949," 1,882",10215,"12,828",12382,-999,3712,£6573
2023-03-01,,ebook,spanish,stapled,ya,penguin,YES,3rd,YES, no ,long-tail,missing,OCEANIA, japan ,Yes,NA,6197,16748,11402,764," 7,719",1004,7600,£10965,5953
2023-07-21,History,ebook,-999,Spiral,YA,macmillan,no,revised,NO,yes,TOP-10,13-17,oceania, JAPAN ,no,,,NA,6759,£8304,16366,-999,£10383,17038,£16208
"Apr 03, 2021",thriller,ebook,spanish,-999,ya,Penguin,yes,NaN,NaN,NO,Top-10,18+,europe,US,YES,2393,15248,15143,8142,missing,£19000,£19680,1063,4689," 5,058"
2022-06-11,BIOGRAPHY,Hardback,English,glue,YA,Penguin,NO,revised,No,yes,top-10,13-17,oceania,Us,NO,19016,16221,16461,17741,-999,2468,missing,£7199," 8,435",7569
2021-09-26,romance,EBOOK,ENGLISH,SPIRAL,ya, PENGUIN , Yes ,3RD,no,yes,top-10,6-12,OCEANIA,NaN, yes ,6209,19695,1229," 8,117",NaN,19528,17559,7049,6003,NaN
07/10/2024,sci-fi,AUDIOBOOK,french,SEWN,ya,Harpercollins,no,1st,no,NaN,top-10,6-12,asia,us,no,,9372,£9059,£9085,6019,14523,13002," 6,447",5302,16479
"Nov 08, 2023",HISTORY,hardback,NaN,sewn,Children,penguin,YES,REVISED,no,yes,top-100,18+,Oceania,us,No,19782,3137,£1798,9857,2812,7742,5526,,9267,72
27/06/2024,-999,PAPERBACK,-999,GLUE,NA,HARPERCOLLINS,yes,3RD,No,no,top-100,18+,oceania,Us,missing,-999,£18696,2575,2434,,5542,£2105,£19342,19159,£7441
2024-01-18,fantasy,,spanish,Glue,ADULT,harpercollins,yes,1st,NO,no,top-100,13-17,Asia,japan,yes,10607,"16,810",19249,10248," 7,625",-999,10000,£13637,"11,859",11104
25/07/2022,fantasy,hardback,ENGLISH,GLUE,adult,Penguin,yes, 2nd ,Yes,YES,,0-5,missing,us,no,£9702,3471,16392,£10797,£9197,15220,£4730,311,missing,8445
2023-10-27,HISTORY,paperback,japanese,GLUE, Ya ,HARPERCOLLINS,no,3rd,NA,missing,TOP-100,13-17,-999,canada,YES,£6720," 2,959",11047,18712,12147,£19154,11328,5924," 4,230",7657
18/05/2023,history,paperback,-999,SPIRAL,,penguin,no,2nd,Yes,yes,NA,0-5,OCEANIA,JAPAN,no,11712,15518,10932,6519,7988," 1,028",NA,5668,18252,9561
"Nov 07, 2021",Romance, Audiobook ,english,Glue,children,NaN,yes,2ND,NO,yes,top-100,0-5,oceania,Us,no,18699,"11,286",16747,4280,19227,3013,393,NaN," 4,000",456
20/02/2021,sci-fi,hardback,JAPANESE,Glue, ADULT ,PENGUIN,no, 3rd ,yes,, top-100 ,18+,Americas,India,Yes,19933,NaN,13825,12564,17721,6105,3912,£4421,17578,£13919
05/01/2024,thriller,Hardback,ENGLISH,glue,Children,Simon & Schuster,Yes,1st,yes,yes,Long-Tail,6-12,oceania,us,YES,10202,88,,2624,1040,,19214,"13,003",£6338," 3,740"
24/04/2024,Sci-Fi,hardback,Spanish,missing,children,simon_&_schuster,no,revised,yes, yes ,Top-100,13-17,oceania,canada,No,103,"15,156",7893,19203,1905,19578,£8326,16943,11396,9177
2022-06-24,sci-fi, ebook ,spanish,Spiral,children,macmillan,NaN,3rd,no,NaN,top-10,0-5,africa,japan,yes,2110,,15293,"16,015",9393," 6,439",NA,9355,£8839,-999
2024-06-27,Romance,hardback,japanese,glue,adult,PENGUIN,yes,1st,No,NaN,top-100,6-12,africa,canada,YES,17293,9291,14147,7798,11558," 9,996",892,,NA,"15,281"
20/02/2024,Biography,audiobook, spanish ,glue, Children ,simon_&_schuster,NaN,3rd,no,yes,top-10, 0-5 ,Americas,uk,no,4122,,   633,"13,646",£5727,£10500,£2497,11286,17131,-999
01/03/2023,THRILLER,audiobook,English,glue,Ya,PENGUIN,no,2ND,no,yes,TOP-10, 18+ ,Americas,JAPAN,missing,48,£6989,,10916,17589,18459,4833,"10,862",£18275,"16,315"
2021-03-16,FANTASY,Paperback,Japanese,spiral,ya,simon_&_schuster, yes ,NaN,no,yes,top-10,0-5,europe,canada,-999,9759,NA,8764,£7130,19276,10514,£2831,£8859,NaN,6646
25/05/2022,missing,audiobook,English, Stapled ,Adult, Simon & Schuster ,yes,1st,yes,-999,top-10,13-17,OCEANIA,japan,no,7869,12855,5785,NA,NaN,missing,14320,4138,8410,NA
17/01/2024,sci-Fi,ebook,ENGLISH,NaN,Ya,SIMON & SCHUSTER,no,3rd,no,YES,-999,18+,NA, us ,no,5439,£11287,7469,174,15299,11356,NaN,4192,680,15150
21/04/2024,BIOGRAPHY,ebook,spanish,spiral,CHILDREN,Simon & Schuster,Yes,REVISED,NO,no,NaN,6-12,EUROPE,NaN,yes,764,NaN,9770,£15369,9936,11754,£489,£11558,£13105,18112
,BIOGRAPHY,audiobook,french,glue,children,penguin,YES,1st,yes,no,missing,18+,asia,japan,NaN,£689,12143," 3,485",,,3745," 8,524",£1756,-999,16476
23/04/2023,Thriller,ebook,JAPANESE,stapled,Adult,, No ,NaN,-999,NO,Long-Tail,0-5,AFRICA,us,no,11613,12161,4724,,NA,£14072,7339,3433,10678,11582
2021-04-24,,ebook,spanish,spiral,-999,simon & schuster,NO,revised, yes ,yes,TOP-10,18+,AMERICAS,Japan,no,NA,13325,"19,189",£3223,18534,£7646,£4332,12203,£15940," 9,521"
2023-04-30,thriller,ebook,german,glue,NaN,missing,YES,3rd,yes,NO,top-100,13-17,Europe,UK,YES," 7,312",15885,£14871,17930,NA,13673,14809,"13,119"," 3,253",17961
21/08/2022,romance,paperback,GERMAN,stapled,ADULT,Macmillan,yes,1st, yes ,yes,TOP-100,0-5, Africa ,us,No,3255,19637,9048,11995,12073,8381,8802," 5,298","13,253",8068
16/02/2021,history,,french,sewn,Ya,penguin,, 3rd ,Yes, No ,top-10,6-12,Asia,uk,no,"14,987",19239,4199,6886,18436,"18,377",£8214,£16244,5843,14883
2024-12-14,fantasy, EBOOK ,japanese,spiral,ADULT,penguin,missing,NA,No,No,top-10,0-5,asia, canada ,YES,NA,£9320," 6,017"," 2,103",16152,"19,931","10,516",10230,19870,NA
"Apr 11, 2023",history,paperback,german,sewn,Adult,penguin, no ,3rd,NO,yes,top-100,6-12,oceania,us,No,14187," 3,874",15369,8572,NaN,£3777,16095,"12,075",13474,12222
2021-04-21,Sci-Fi,AUDIOBOOK,German,Glue,,harpercollins,yes,Revised,no, No ,top-10,18+,oceania,Japan,no,16446,£15651,19342,"18,182",19313,2755,£19121,15167,11404,£5254
2023-12-31,FANTASY,HARDBACK,missing,stapled,children,penguin, Yes ,3rd, Yes ,no,long-Tail,18+, Asia ,uk,NaN,"15,791",4680," 6,527",1910,10285,258,6138,19415,£11431," 7,753"
05/06/2023,fantasy,EBOOK,spanish,Sewn, children ,harpercollins,no,2nd,yes,YES,top-10,0-5, asia , INDIA ,no,1729,£7850," 9,678",8292,"17,741",4592,NaN,18739,"16,681",missing
2023-11-14,THRILLER,Ebook,german,sewn,ya,penguin,no,1st,NO,no,top-10,6-12,asia,uk, NO ,18365,2415,,7106,missing,NaN,10349,£5383,10180,£6194
2021-12-23,history,paperback,French,Stapled,ya,harpercollins,NO,revised,no,missing,NA,NaN,asia,canada,NO,,221,£13464,£1218,£18802,16628,11358,14908,5860,
"Dec 29, 2022",sci-fi,paperback,german,STAPLED,adult,Harpercollins,yes,3rd, yes ,no,top-10,6-12,europe,japan,Yes," 1,394"," 2,053","10,237","12,930",£1831,£16489,3435,16074,16880,17985
28/09/2024,missing,Paperback,SPANISH,spiral, ADULT ,MACMILLAN,yes,3RD,yes,yes,top-10,13-17,-999,japan,NO,13424,missing,4218," 8,466",2035,£12716,£718,17450,3169,15339
2021-04-29,fantasy,NaN,english,stapled,adult,harpercollins,No,Revised,-999,NO,long-Tail,18+,Europe,india,yes,5922,NA,6460,NA,10496,"11,893",,4902,3261,
2022-05-21, fantasy ,paperback,german,sewn,children,Simon & Schuster,NO,3rd,YES,YES,top-100,NaN,oceania,-999,Yes,4950,17953,"18,874",13221,8874,NA,   895,16754,£2853,-999
2024-09-02,Biography,paperback,NA,-999,adult,MACMILLAN,yes,2nd,yes,Yes,missing,18+, americas ,japan,no,8600,4773,£17841,£2951,19013,"12,051",8382,1350,"19,957",-999
2024-07-18,NaN, hardback ,japanese,,YA,penguin,Yes,2ND,Yes,no,missing,NA,Africa,India,Yes,10374,11106," 5,532",7513,19940,12816,11500,15786,£13254,4488
2024-06-30,thriller,hardback,NaN,stapled,ADULT,penguin,no,3rd,YES,yes,TOP-10,13-17,asia,INDIA,Yes,missing,19880,12746,6646,4550,4681,£15517,NA,£13472,14846
22/07/2024,thriller,audiobook,spanish,,adult,NaN,yes,revised,no,YES,top-10,6-12,AFRICA,JAPAN,NO,6973,10743,"18,443",18835," 3,085",missing," 2,772",NaN,13381,10471
"Mar 30, 2022",romance,PAPERBACK,spanish,-999,children,harpercollins,no,3rd,no,no,top-100,NaN,Africa,canada,no,13167,19132,"15,055",£14714,3207," 5,162",19365,11640,,4865
09/01/2023,history,PAPERBACK,french,-999,Children,penguin,NO,revised,NO,no,TOP-100,missing,africa,JAPAN,yes,£6901,"16,440",1223,11059," 3,969",15063,£12166,-999,15212,£4813
2022-08-01,ROMANCE, PAPERBACK ,-999,NA,ADULT,macmillan,yes,Revised,No,Yes,top-100,18+,europe,-999,no,18948,£13063," 7,195",3709,£17480,10074,19911,10877,2340,9963
04/03/2023,thriller,HARDBACK,Japanese,glue, children ,simon&Schuster,yes,3rd,yes,Yes,top-100, 18+ ,asia,canada,,£13230,2533,15701,2645,NaN,,£10414,NA,"18,274","19,270"
23/08/2023,sci-fi,AUDIOBOOK,spanish,stapled,Adult,simon_&_schuster,Yes,revised,no,no,top-10,18+,asia,canada, No ,8908,13475,"15,941",10933,£1267,12297,14970,10757,10261,
2024-11-15,FANTASY,,english,STAPLED,CHILDREN,Macmillan,NO,revised,NO,YES,TOP-100,6-12,EUROPE,india,yes,£4175,17493," 3,161",£16911,14276,7534,"13,502",10302,9056,515
14/01/2022,sci-Fi, hardback ,japanese,glue,CHILDREN,SIMON & SCHUSTER,YES, revised ,YES,no,top-100,6-12,,-999,missing,7809,6522,330,2990,5673,5217,11035,18645,NA," 1,903"
"Sep 15, 2024",HISTORY,-999, spanish ,stapled,ya,macmillan,YES,Revised,No,yes,top-10,18+,AFRICA,india,yes,14001,,£11275,3444,6235,3223,18037,1147,17347,missing
10/01/2021,HISTORY,audiobook,english,glue,adult,penguin,YES,3rd,No,no,top-10,13-17,Africa,CANADA, Yes ,13273,£3556,18523,18124,9029,4746,missing,"14,800",£18979,2966
27/11/2021,THRILLER,paperback,Spanish,sewn,ya,Penguin,yes,1st,YES,No,TOP-100, 18+ ,oceania,missing,yes,995,"16,602",1829,3252,10246,7677,"17,155",6650,521,1367
NaN,biography,PAPERBACK,japanese,spiral,adult,Simon & Schuster,Yes,3rd,YES,yes,long-tail,0-5,africa,UK,NO,599,17583," 5,847",£13906,4286,10900,4293,"14,717",18620,8458
22/08/2023,Fantasy,ebook,english,stapled,NaN,Macmillan,yes,2nd,No,YES,TOP-10,13-17,ASIA,uk,NO,8992,,14665,missing,NA,1032,6295,£10884,"13,279",9583
11/10/2022,history,audiobook, japanese ,stapled,NA,harpercollins,yes,3rd,Yes,no,TOP-100,6-12,europe,missing,no,9615,£19416,7845,15410,16687,NA,£14124,£14784,2901,1069
2021-05-15, history ,audiobook,japanese, Glue ,NaN,PENGUIN,NO,revised,yes,NO,top-10,18+, americas ,NaN,NA,74,16008,1417,missing,9170,£2570,5636,13730,10282,16750
15/01/2022,Biography,AUDIOBOOK,Spanish,stapled,CHILDREN,Simon & Schuster,yes,2nd, no ,yes,LONG-TAIL,6-12,africa,canada,no,19491,9074,£6449,NaN,NA,17188,6843,11734,6604,1930
07/01/2023,NA,hardback,JAPANESE,sewn,NA,simon&Schuster,no, 2nd ,No,-999,top-100,6-12,oceania,,No," 6,372",12874,10618,£5927,9117,15614,"17,044",4638,8831,£1302
01/06/2022,biography,-999,french,STAPLED,adult,penguin,Yes,-999,yes,NO,top-10,0-5,europe, india ,yes,"15,551",13659,5504,9663,£15486,16612,£12672,1895,7061,3703
27/05/2023,ROMANCE,audiobook,FRENCH,Sewn,children,HARPERCOLLINS,yes,2nd,yes,NA,top-100,18+,OCEANIA,INDIA,yes," 6,496",4658,18890,10600,15673,£5253," 4,048",    60,1406," 8,613"
2023-01-10,Sci-Fi,Hardback,spanish,glue,children,MACMILLAN,NO,3rd,No,no,,NA,africa,CANADA,yes,238,£14010,15865,"12,674",£15138,"12,227",13761,16153,9887,12715
10/11/2022, Sci-Fi ,paperback, french ,Stapled,children, macmillan ,No,3rd,yes,No,top-10,18+, europe , Uk ,No,,14118,18216,12841,NaN,£14796,NA,£4566,9665,£3916
12/02/2024,FANTASY,audiobook,german,NA, Adult ,macmillan,NO,2nd,No,yes,top-10,13-17,asia,India,Yes,,-999,£8262,11941,,12972,1619,NA,14162,3740
03/04/2024,,HARDBACK,spanish,sewn,children,penguin,yes,2nd,YES,NO,top-100,6-12,OCEANIA,india, yes ,17958,10787,9896,18466,17712,NaN,6005,9171,"18,994",£18693
2024-02-16,Biography,HARDBACK,ENGLISH,glue,adult,macmillan, yes ,Revised,no,no,Top-10,0-5,europe,India,yes,   342," 3,368",£8807,,11615,19581,5162,9515,14762,£18625
25/11/2023,HISTORY,paperback, spanish ,glue,adult,Penguin,no,revised,no,NO,long-tail,6-12,oceania,NaN,yes,£19837," 3,183",£144," 3,391","15,960",14446,15491,,19524,"16,368"
"Aug 26, 2021",Fantasy,paperback,spanish,Sewn,NaN,simon & schuster,YES,1st,no,Yes,long-tail,18+,-999,CANADA,No,3388,£18333,12927,5517,16862,19741,£15777,741,14360,£17896
12/05/2024,biography,Audiobook,japanese,Glue,ya,,NaN,1st,NO,yes,top-10,18+,americas,japan,Yes,8108,"19,021",6685,£14688,16909,15204,10487,19427,£1576,9247
NaN, romance ,Audiobook,JAPANESE,Sewn,ADULT,Macmillan,missing,3rd,NaN,yes,TOP-10,,americas,india,No,10935,7881,"10,297","19,443",11428,814,12345,2963,7136,£10719
13/07/2024,Biography,hardback,NaN,stapled,ya,NA,no, 1st ,-999,yes,long-tail,0-5,europe,india,missing,£1010,15056,16121,"14,832",missing,£6649," 3,657",£10611,"14,263",7196
04/04/2024,Romance,HARDBACK,spanish, Stapled ,ya,Harpercollins,no,missing,yes,yes,top-100,18+,Americas,uk,Yes,5575,4347,£5537,NA,16453,17668,1550,18325,8508,NA
NaN,Romance,hardback,JAPANESE,Stapled,adult,macmillan,yes,,NO,no,,6-12,europe,us,no," 5,238",17797,3842,10449,4542,930,4610,19512,£7221,£16016
03/11/2023,sci-fi,paperback,japanese,spiral,Adult,harpercollins,no,3RD,NaN,missing,LONG-TAIL,0-5,europe,uk,yes,£2537,£10623,13703,10689,15593,16939,2541,£549,16584,NaN
24/02/2021,romance,,Spanish,SPIRAL,Children,penguin, No ,3rd, YES ,yes,Top-10,0-5,europe,JAPAN,no,11476,16044,"14,354",16338,3988,£7213,17942,missing,8037,missing
2023-05-25,biography, audiobook ,SPANISH,sewn,adult,harpercollins,yes,revised,yes,No,top-10,0-5,-999,Us,-999,18483,11695,-999,748,-999," 1,692",missing,15804,£11273,18677
2021-04-22,missing,paperback,SPANISH, spiral ,ya,Harpercollins,Yes,-999,, yes ,top-100,6-12,Americas,india,NO,18194,"12,689",-999,£10784,1698,8615,3153,£12989,£16237,2914
