DATE,make,model/,fuel_type?,transmission,Body Style, colour ,Drive Train,Trim Level,reg state, Emission Std ,Segment?,ownership type,insuranceGroup,warranty_status,MARKET REGION, ENGINE CC , horsepowerBhp ,TORQUE NM,co₂G/Km,Range Km,0-60 MPH S,fuelTankL,Boot L?,KERB WEIGHT KG,list_price_£?
10/06/2024,tesla,model3,electric,DUAL-CLUTCH,,blue, Awd ,luxury,-999,ulez,NaN,demo, 45 ,in-warranty,NA,£12434,9902,£18105,£4466,£15046,NaN," 2,784",NA,7669,missing
09/01/2021,missing,A4,diesel,cvt,Estate, blue ,,Premium,USED,euro_4, b-supermini , DEMO ,33,in-Warranty,us,,10405,168,"16,723",£7361,18535,6664,19501,10809,10513
21/02/2022,ford,a4,diesel,automatic, coupe ,GREY,4wd,luxury,imported,NA,C-Compact,PRIVATE,26,out-Of-Warranty,mea,5801,£19242," 8,572",,,1191,NA,5398,2655,"11,517"
2023-03-17,ford,NA,electric,MANUAL,estate,grey,AWD,sport,NEW,ulez,E-Exec,hire,39,In-Warranty,mea,8472,16232,"10,819",6004,NaN,5291,15312,16092,4165,"18,312"
21/06/2024,honda,golf,HYDROGEN,manual,suv,Silver, 4wd ,luxury,IMPORTED,EURO 5,B-SUPERMINI, demo ,missing,In-Warranty,eu,"19,660",16396,4664,2656,6,4399,12963,,2490,4076
"Jun 07, 2024",honda,s60,HYDROGEN,manual,-999,grey,missing,-999,ex-Lease,euro5,c-compact,fleet,6,Out-Of-Warranty,Uk,10289,,£5195,£9363,£16433,2220,11118,11016,16185,£16620
2024-11-28,volvo,-999,electric,DUAL-CLUTCH,suv,BLUE,RWD,missing,new,ulez,NA,Hire,8,EXTENDED,EU,11934,17608,1679," 8,092",1181,-999,10441,13376,NaN,14128
2024-01-12,Volvo, 320i ,hydrogen,Dual-Clutch,ESTATE,red,4WD,performance,USED,euro_4,c-compact,demo,NaN,Out-Of-Warranty,eu,8962,4149,£9459,14121,"18,981",19696,13166,5619,5803,2994
,vw,s60,diesel,automatic,saloon,Blue,4wd,,ex-lease,euro5,B-SUPERMINI,hire,17,IN-WARRANTY,uk,NA,16537,9655," 3,991",14375,16113,4489,19391,11592,9799
31/10/2022,vw,Golf,hydrogen,automatic,SALOON,White,awd,premium,used,euro 4,A-City,fleet,28,in-warranty,APAC,19791,8697,£17807,"18,422",19905,2661,5008,15547,8433,7496
11/11/2022,Volvo,S60,hybrid,NaN,saloon,NaN,FWD,PREMIUM,new,,d-Mid-Size,hire,20,Extended,,18378,13336,6710,,£17724,17747,9391,3609,-999,£1229
2022-09-30,vw,focus,Electric,Dual-Clutch,suv,RED,Awd,SPORT,used,ulez, b-Supermini ,DEMO,7,out-of-warranty,Uk,NaN,3541,10075,15933,8146,14834,14577,19,£13039,1289
2021-05-25, honda ,A4,electric,automatic,SALOON,-999,4wd,base,imported,EURO 6,missing,fleet,37,out-Of-Warranty,eu,14792,909,    74,4007,"17,255",1166,5117,-999,-999,NaN
2023-04-09,-999,civic,Hybrid,NA, coupe ,NA,Rwd,Base,NA,Euro 4,c-compact,Hire,47,in-warranty,apac,NaN,11218,806,13111,8743,13582," 8,626",6798,3822,13093
26/08/2024,toyota,NaN,hybrid,missing,coupe,red,awd,SPORT,imported,ulez,C-COMPACT,demo,6,NaN,Eu,19902,7595,13588,2914,," 1,104",9612,"16,109",13185,5556
07/03/2024,vw,FOCUS,diesel,MANUAL,saloon,black,rwd,base,imported,NA,b-supermini,HIRE,-999,in-warranty,NaN,"17,998",18724,4763,£15129,10292,11629,5391,,3427,9539
