 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
2022-02-18,SIAMESE,Grey,Short,BI-COLOUR,Gold,OVERDUE,no,, Indoor ,catnip_mouse,playful,DRY,silica,shelter,,"16,074",2083,missing,14926,NA,2536," 9,258",£11690,6738,19062
2024-09-04,Bengal,NaN,hairless, TABBY ,Gold,unknown, YES ,SENIOR,indoor,laser_pointer,lazy,MIXED,CLUMPING,Friend,ALLERGY,-999,4090,2335,"13,154","10,042",£3509,12796,8293," 8,184",8147
"Jun 06, 2022",tabby, tortoiseshell ,Hairless,Spotted,odd-eyed,Up-To-Date,yes,prime,Both,featherWand,shy,NA,Clumping,stray,allergy,12935,£11872,£17732,9487,11698,"19,974",15399,900,   283,11143
"May 25, 2022",maineCoon,grey,Hairless,bi-colour,NaN,-999,no,mature,outdoor,NaN,Friendly, dry ,NA,shelter,OBESITY," 9,352","17,016",11511,£5069,"18,829",missing,£6430,"13,326","12,307",12475
2022-02-01, maineCoon ,orange,medium,SOLID,GOLD,not required,missing,junior,outdoor,ball,FRIENDLY,raw,recycled_paper,BREEDER,allergy,£10018,9282,"11,203",8938,,3971,NA,2601,£2662,8790
NaN,maineCoon,tortoiseshell,short,BI-COLOUR,green, overdue ,YES,senior,both,featherWand,playful,mixed,silica, friend ,None,12203,"12,985","14,740",,21,£5419,£3866,19375,14848,15093
2023-04-26,BENGAL,Brown,Short,spotted,Odd-Eyed,up-To-Date,NaN,prime,both, catnip_mouse ,PLAYFUL,wet,non-Clumping,breeder,arthritis,7190,8892,18667,19619,4770,3056,19540,3565,19967,7137
"Aug 04, 2023",MAINE COON,grey,long,Pointed,Copper,,Yes,junior,BOTH,ball,FRIENDLY,missing,non-clumping,stray,NA,10789,15584,£9446,3694,missing,£16296,19273,4688,,NA
07/10/2021,ragdoll, grey ,medium,bi-Colour,copper,not required,, junior ,indoor,Ball,missing, wet ,missing,shelter,OBESITY,9380," 7,965",NA,13454,NaN,13140,-999,1561,11942,14201
NA,British Shorthair,,hairless,BI-COLOUR,odd-Eyed, up-to-date ,YES,geriatric, OUTDOOR ,catnip mouse,shy,NaN,Non-Clumping,stray,ALLERGY,11620,£17337,14028,7367,£13574,£15035,12541,£13853,£13847,6344
30/05/2024,bengal,black,LONG,NaN,copper,unknown,no,senior,-999, FEATHER WAND ,shy,,recycledPaper,Online,arthritis,£17112," 8,695","10,230",13500,£13747,NaN,19351,£18825,£11990,10034
11/10/2024, SPHYNX ,cream, short ,Bi-Colour,copper,Not Required,NaN,MATURE,indoor,String,Lazy, raw ,Clumping,Friend,Dental,£8082,7224,1086,18026,£17090," 9,807",5240,£16825,"11,297",15381
"Jan 11, 2023",RAGDOLL,Grey,short,bi-colour,blue,up-to-date,no,MATURE,both,NA,shy,dry,silica,Breeder,missing,missing,NaN,NA,10930,3820,6806,-999,6912,1943,£19085
02/04/2023,persian,grey,LONG,Bi-Colour,Green,up-to-date,yes,geriatric,Both,string,friendly,-999,recycled_paper,shelter,dental,-999,£10679,1030,£10860,-999," 2,521",1615,4177,5217,"15,761"
"Jul 30, 2024",ragdoll, white ,Hairless,pointed,copper,Not Required,yes,MATURE,outdoor,Feather Wand,NA,-999,SILICA,breeder,OBESITY,£17354,£4575," 7,355",9303,9763,5262,£8500,£15229,£6969,12559
-999,british shorthair,white,long,tabby,gold,not_required,missing,junior,BOTH,missing,playful,NaN,NON-CLUMPING,NaN,none,NA,9028,19352,15979,NaN,11276,"13,542",13878,11664,1023
2023-03-28,sphynx,Calico, Long ,bi-colour,green,up-to-date,Yes,geriatric, indoor ,Catnip Mouse,friendly,Dry,clumping,breeder,NaN,15086,1827,£6596,missing,£18181,£13146,13541,19986,13998,2929
2022-03-18,NaN,,-999,solid,gold,Unknown, no ,geriatric,indoor,String, friendly ,mixed,clumping,stray,ALLERGY,753,,£12456," 8,113",2117,NaN,£1492,18970,5255,11293
