Event_Date,Gender,Region,Programme,Outcome,Age_Band,Cases,Response_Time_Days,Score,Cost_GBP
2024-01-03,Female,North,Apprenticeships,Completed,18-24,12,4.2,78,1250.5
2024-01-10,Male,South,Apprenticeships,In progress,25-34,18,5.1,72,1510.0
2024-01-17,Female,Midlands,Technical,Completed,35-44,9,3.8,84,980.75
2024-01-24,Male,London,Technical,Withdrawn,25-34,6,7.4,61,720.0
2024-02-07,Female,North,Functional Skills,Completed,45-54,15,4.9,81,1340.25
2024-02-14,Male,South,Functional Skills,In progress,18-24,21,6.2,69,1685.4
2024-02-21,Female,Midlands,Apprenticeships,Completed,25-34,14,4.0,88,1422.1
2024-02-28,Male,London,Technical,Completed,35-44,11,3.5,86,1110.0
2024-03-06,Female,North,Technical,In progress,45-54,8,6.7,70,915.35
2024-03-13,Male,South,Apprenticeships,Completed,18-24,19,4.4,82,1599.99
2024-03-20,Female,Midlands,Functional Skills,Withdrawn,25-34,5,8.1,58,640.0
2024-03-27,Male,London,Functional Skills,Completed,35-44,13,3.9,79,1215.6
2024-04-03,Female,North,Apprenticeships,Completed,55-64,10,4.7,83,1080.2
2024-04-10,Male,South,Technical,In progress,45-54,16,5.8,74,1475.8
2024-04-17,Female,Midlands,Technical,Completed,18-24,7,3.2,91,835.0
2024-04-24,Male,London,Apprenticeships,Completed,25-34,20,4.1,85,1730.45
2024-05-01,Female,North,Functional Skills,In progress,35-44,12,6.0,68,1199.95
2024-05-08,Male,South,Functional Skills,Completed,55-64,9,3.7,80,1015.25
2024-05-15,Female,Midlands,Apprenticeships,Completed,45-54,17,4.5,87,1525.7
2024-05-22,Male,London,Technical,Withdrawn,18-24,4,9.0,55,510.0
2024-06-05,Female,North,Technical,Completed,25-34,15,3.6,89,1388.3
2024-06-12,Male,South,Apprenticeships,In progress,35-44,18,5.3,73,1610.15
2024-06-19,Female,Midlands,Functional Skills,Completed,55-64,10,4.8,77,1042.9
2024-06-26,Male,London,Functional Skills,Completed,45-54,14,4.0,82,1275.0
