date, cuisine , MEAL TYPE , dietary tag ,course, Spice Level ,servingTemp, allergen ,Protein,cooking_method,Origin Country,Occasion,packaging,organic,Fairtrade,RESTAURANT CHAIN/,calories_kcal, fat g ,protein g,carbs g, sugarG ,Salt G,Cost £,serve size g?,PREP TIME MIN,Cook Time Min
"Aug 29, 2021",indian,breakfast,VEGETARIAN,starter, medium ,,NaN, tofu ,grilled,,birthday,metal,yes,no,NaN,£3748,12848," 6,792",2460,6057,18886,£16016,10899,10914,£8006
23/04/2023,italian,NaN,keto,side,fiery,Cold,fish,Pork,grilled,greece,Holiday,Plastic,no,YES,FRANCHISE,10546,missing,   473,"19,351",12198,6299,missing,6689,2245,19442
2021-07-21,greek,dessert,-999,starter,medium,-999,egg,Beans,GRILLED,china,BIRTHDAY,compostable,no,no,missing,"17,204",-999,NA," 4,610",8898,£224,3365,"10,804",4619,-999
2024-11-15,NaN,Dessert,VEGETARIAN,starter,fiery, Room Temp ,NaN,lamb,baked,france, birthday ,Paper,NO,yes,STREET FOOD,,6431,£14485,2457,-999," 1,726",17070,£9818,15945,-999
"Aug 17, 2024",indian,Lunch, vegan ,side,MILD,hot,dairy,-999,raw,GREECE,,missing,yes,yes,Fast Food,3628," 5,210"," 8,568"," 9,070",11912,"16,515",15001,NA,17918,7056
13/10/2022,french,,VEGETARIAN,side,medium,missing,EGG,Beef,fried,india,FORMAL,paper,yes,Yes,NaN,"14,821",NaN,missing,£1920,6070," 2,115","16,246",9141,1806," 3,237"
"Dec 25, 2022",INDIAN,brunch,vegetarian,drink,hot,cold,Gluten,beef,STEAMED,china,Birthday,-999,NaN,yes,franchise,"11,483",8252,3631,816,16061,13380,14867,2322,10713,7308
23/08/2021,indian,dinner,,STARTER,hot,-999,NONE,Lamb,Grilled,Italy,holiday,NA,YES,yes,franchise,13208,7257,15535,NA,£1084,10518,£13594,missing,£9340,£7906
28/02/2022,Indian,dessert,halal,starter,mild,NaN,Fish,Pork,baked,india,HOLIDAY,paper,NA,NO,franchise,10536,£8973,2172,,£17017,7301,£15648,883,14984," 2,254"
2023-01-03,french,Breakfast,keto,drink,Mild,Cold,NONE,chicken,NaN,-999,birthday,METAL,Yes,no,NaN,"19,048",2381,£2687,9760,3680,11420,"19,968",£13559,£13061,"18,913"
2024-03-04,Mexican,brunch,NA,MAIN,fiery,COLD,none, chicken ,Raw,italy,Birthday,glass,NO,Yes,STREET FOOD,15477,£9630,4317,6655,NaN,9774,19275,-999,16200,-999
2024-05-04,,snack,keto,Main, Mild ,room_temp,DAIRY,beef,Steamed,france,holiday,metal,missing,no,NA,17739,,8705,11050,"14,373",missing," 7,220",10382,4918,11763
18/10/2022,Indian,Dinner,gluten-Free,STARTER,HOT,HOT,NONE,missing,grilled,italy,Holiday,Glass,yes,Yes,INDEPENDENT,£14813,6271,NA,9808,3539,18792,"19,075",1754,4774,£4132
