date,Genre,RATING,language,Format,franchise?, PRODUCTION STUDIO , release season , budget band ,distribution?,SEQUEL,Award Noms, filmingLocation , CINEMATOGRAPHY ,Lead Actor, soundMix , runtimeMin ,box office $m,metascore,userscore,screens, opening $m ,marketing_$m,CGI SHOTS,IMDB VOTES, oscarWins 
2024-10-21,horror,pg,mandarin,IMAX,spin-off,-999,autumn,$10-50m,limited, YES ,8+, Australia ,DIGITAL,NEWCOMER,atmos,10807,19007,£15503,4113,£4416,15884,missing,"12,322",5424,14738
02/04/2023,drama,r,spanish,NaN,franchise,Disney,-999,>$150M,LIMITED,no,8+,canada,Imax 70mm,b-list,dts,   256,14086,NA,15793,8662,£4652,£4646,584,£1352," 7,447"
24/09/2022,ANIMATION,R,english,STREAMING,-999,Paramount,winter,missing,STREAMING,Yes,NA,uk,digital,a-List,Dts,-999,-999,16875,11840,£16084,£11163,12332,NaN,£8622,14318
2022-01-23,action,G,SPANISH,streaming, standalone ,universal,winter,$10-50m,limited,No,1-3,Uk,DIGITAL,b-List,atmos,£17246,18538,297,£15777,£6371,"13,521","11,905",7014,17938,NA
NA,DOCUMENTARY,15,hindi,2d,Reboot,Universal,winter,<$10m,limited,yes,1-3,australia,IMAX 70MM, b-List ,-999," 2,303",15324,10144,14722,857,19344,19612," 5,691",£5546,NA
14/03/2022,Comedy,R,french,IMAX,spin-off,warner,Autumn,$10-50M,limited,,0,Nz,Digital,b-list,atmos,6381,£16125,177,"12,219",11997,,"19,393",,12909,1260
2024-07-13,ACTION,12a,missing,, Standalone ,PARAMOUNT, autumn ,$50-150m,NaN,yes,0,Canada,imax_70mm,b-list,Atmos,9117,5816,£11452,NA,"13,306",NaN,14687," 6,648","14,653",9241
2024-01-15,missing,15,english,STREAMING,spin-off,DISNEY,SPRING,$50-150m,direct-to-dvd,NO,8+,us,digital,a-list,ATMOS,,10604,16609,14349,-999," 3,962",£1063,£18956," 3,316",1527
2024-09-17,Comedy,12a,SPANISH, 2d ,standalone,paramount,summer,>$150m,direct-to-dvd,yes,8+, nz ,imax70mm,Newcomer,atmos,4742,"13,817",NaN,18196,6688," 3,140",6439,18235,"14,975",14977
02/04/2022,DRAMA,15,,STREAMING,spin-off,paramount,spring,NaN,direct-to-dvd,yes,8+, uk ,,a-list,NA,9951,7560,5903,9925,619,£2549,£5177,14572,16665,19570
19/05/2023,Comedy,NA,SPANISH,-999,NaN,sony,spring,-999,cinema,no,8+,UK,Imax 70mm,NaN, dolby ,19511,NA,15567,4500," 9,934",8348,14263,£3738,14923,"18,719"
07/12/2022,Documentary,-999, spanish ,3d,Spin-Off,Warner,autumn,missing,limited,yes,1-3, uk ,digital,newcomer,missing,NaN,605,£9462,6577,£6740,£12105,NaN,£8109,NA,7637
11/03/2023,-999,-999,Hindi,Imax,franchise,SONY,NaN,>$150m,Streaming,NO,0,canada,imax 70mm,NA,,£4373,16262,19316,13846,NA,11438,"13,792",£11854,9170," 4,451"
"Nov 06, 2022",Animation,pg,mandarin,missing,FRANCHISE,sony,NaN,>$150m,Limited,No,4-7,uk,digital,newcomer,atmos,2853,17058,13415,"17,872",19658,£9743,10386,£12600,missing,3783
NaN,, r , spanish ,streaming,missing,paramount,SPRING,<$10m,cinema,YES,8+,australia,imax70mm,a-list,dolby,"13,414",8654,13395,NA,13572,NA,£2565,11893,-999,"11,340"
22/02/2023,comedy,G,French,2d, Standalone ,Paramount,summer,>$150m,streaming,yes,4-7,nz,film, B-List ,atmos,£4004," 4,640",£11494,11024," 4,829",14931,5285,16573,11987,8059
13/01/2022,HORROR, pg ,spanish,-999,STANDALONE,universal,-999,$50-150m,streaming,Yes,,us,imax_70mm,a-list,DOLBY,2141,7482,7660,6088,7894,9590,"10,875",£8951,2301,8857
30/10/2023,action,NA,french,2d,franchise,WARNER,NA,$10-50m,cinema,yes,8+,nz,film,b-list,dts,,2190,-999,11193,£8170,8231,4998," 6,239",18693,missing
2023-11-26,documentary,g,french,imax,REBOOT,warner,winter,$10-50m,NA,no,0,canada,NA,b-list,Atmos,14658,15974,754,£11286,10511,13157,12155,£9817,missing,7716
08/03/2022,Horror,-999,spanish,NaN, Franchise ,sony,winter,>$150m,,yes,8+,australia,FILM,a-List,atmos,NaN,12877,NA,£10001,,"13,063",£6086,13903,11194,8087
06/12/2021,NA, 12a ,spanish,IMAX,reboot,Universal,summer,>$150m,missing,no,4-7,missing,NaN,newcomer,dolby,4055,£4766,9252,9148,8591,£4110,46,   744,£12835,£12260
