DATE,genre,format,language, mood ,decade, Label ,EXPLICIT, chartPosBand ,Instrument Focus,Live/Studio, GRAMMY WON ,remastered,PLAYLIST TYPE?,audienceAge,REGION POPULARITY,Streams M,salesK,LISTENERS K, peakPos , weeks charted ,Tour Gross £M,track_length_s,bpm,Key,energy%
2024-04-20,edm,cd,german,Chill, 90s ,warner,no,Top-100,Piano,live, 0 ,no,missing,adults,us,-999,"15,433",17785,9010,£10196,£17018,976,15764,3525,£18632
"Mar 30, 2021",CLASSICAL,cd,german,happy,70s,sony,missing,TOP-10,drums,LIVE,8+,yes,Focus,SENIORS,us,17963,NA,NA,£7230,NaN,6648,13480,£10639,18906,NaN
NA,-999,cd,german,energetic,2000s,warner,no,Top-40,STRINGS,Live, 1-3 ,yes,mood,kids,Latam,13475,8925,,1847,£2214,"18,846","19,111","11,233","16,764",11086
2024-02-17,,cassette,german,sad,90s,SONY,yes, TOP-10 ,strings,NaN,1-3,No,mood,adults, asia ,6654,£13992,NaN,"19,485",1103,8296,18054,6326,14137,1064
"Aug 03, 2022",CLASSICAL,live,spanish,chill,2020s,SONY,NO,top-100,GUITAR,-999,1-3,No,Mood, KIDS ,us,NA,629,19380,2294,£15350,17493,£14819,£3660,NA,2135
"Aug 21, 2022",pop,Streaming,english,Chill,70s,INDIE,no,TOP-10,piano,studio,1-3,no,party,kids,us,£19148,15724,£14642,4142,3663,missing,201,10143,14616,446
2024-05-17,Rock,vinyl,GERMAN,energetic,NaN,,no, top-10 ,Drums,missing,4-7,Yes,party,, asia ,7198," 8,645",943," 1,400",1535,£12918,14269,10809,NA,-999
24/05/2021,pop,live,german,ENERGETIC,missing,indie,no,UNCHARTED, drums ,studio,1-3,no,sleep,ADULTS,Latam,NA,12876,NaN,9555,£11861,,£7001,2613,10753," 5,036"
01/06/2023,Hip-Hop,,ENGLISH,Angry,2020S,universal,no,top-40,strings,studio,0,yes,focus,KIDS, Eu ,9822,10208," 6,851","16,903",2454,missing,10208," 8,276",15859,17700
"Nov 29, 2022",Classical,streaming,english,SAD, 2020s ,universal,No,uncharted,drums,LIVE,missing,Yes,Mood,seniors,Asia,£5428,£1119,7072,2908,12534,13396,10234,7776,3773,14674
2024-08-04,,cassette,FRENCH,missing,80s,Warner,YES,top-40,strings,live,8+,no,Party,KIDS,eu,15714,"19,666",£650,£4221,11568,1205,£970,10798,3757,7406
2024-03-14,Classical,Cd,FRENCH,SAD,90s,indie,yes,TOP-40,guitar,NaN,NA,no,workout,ADULTS,NaN,5032,14485,"10,730",£12696,£1106,1162,19159,12580," 5,318",3625
2022-05-28,HIP-HOP,streaming,korean,NA, 80S ,NA,yes,TOP-10,synth,LIVE,8+,missing,focus,adults,eu,14621,18363,7631,16867,13799,12550,1656,£6518,11977,11536
31/10/2024,missing,CD,spanish,NA,80S,universal,missing,top-100,piano,NaN,4-7,yes,mood,teens,us,11740,12913,£12491,£5915,19245,9202,5829,,"18,671",1653
28/11/2024,NaN,cassette,FRENCH,-999,NaN, Universal ,yes,top-40,guitar,studio,8+,yes,focus,kids,uk,£5223,9679,£18629,"10,705",12639,-999,19289,5897," 3,817",NaN
"Jun 07, 2021",Jazz,live,Korean,angry,2000s,-999, no ,top-40,,Live,1-3,no,WORKOUT,KIDS,uk," 4,070",-999,4049,NaN,3699,5736,"10,496","19,650",missing,13030
24/12/2022,classical,Vinyl,GERMAN,happy,missing,-999,Yes,Uncharted,drums,studio,missing,No,focus,adults,us,"19,340"," 1,638",8425,£19099,12427,,4622,8549,19584,"16,222"
2023-10-23,CLASSICAL,missing,english,angry,2020S, INDIE ,yes,Top-10,PIANO,studio,8+,YES,workout,,latam,7495,9770,£17883,£19399,missing,14688,9947,6009,9278,15910
2021-02-20,NaN,cd,SPANISH,,NA,indie,Yes,uncharted,drums,STUDIO,4-7,No,Focus,teens,UK,£3941,14232,9522,£4405,14830," 8,084",15971,"17,646",£11112,£11299
29/07/2022,pop,CASSETTE,FRENCH,ENERGETIC,2000S,sony,no,Top-100,strings,live,4-7,yes,Focus,SENIORS,eu," 5,506",11423,18667,missing,18093,5989,£2699,11707,13461,NaN
25/06/2024,edm,Vinyl,english,energetic,missing,sony,yes,top-40,piano, Live ,0,No,party,Adults,us,8052," 3,864",2093,310,18531,349,8433,NA,10973,NaN
28/11/2021,-999,cd,NA,Angry,70s,warner,No,UNCHARTED,missing,live,4-7,yes,focus,kids,NA,10867,13959,5571,5213,£18451,missing,£4194,1203,11281,16029
22/08/2022,HIP-HOP,cd,spanish,happy,70S,sony,NaN,TOP-40,Synth,live,4-7,no,sleep,Seniors,asia,NaN,12686,,3603,13824,5312,6211,-999,£16560,11056
31/08/2022,jazz,STREAMING,korean,chill,90s,sony, NO ,Top-40,strings,studio, 8+ ,yes,FOCUS,teens,latam,9046,"10,300",560,£2288,£4046,3410,4142,,17640,15960
-999,EDM,vinyl,SPANISH,SAD,2000s,warner,no,uncharted,piano,live,4-7,No,focus,seniors,us,1222,10470,3940,18875,13638,3748,16371,337,£10910,-999
-999,jazz,cassette,Spanish,sad,missing,warner,YES,top-10,SYNTH,live,0,yes,Workout,Adults,Asia,816," 3,793",£10613,£19702,15988,17496,8055,10060," 7,312",9679
21/09/2023,rock, CASSETTE ,german,Sad,2020s, sony ,no,uncharted,SYNTH,studio,-999,no,party,seniors,latam,15508,£17072,15072,£11072,8906," 5,442",£2470,-999," 4,272",£11636
15/01/2021,CLASSICAL,cassette,german,sad,90s,universal,no,top-100,guitar,studio,4-7, YES , Focus ,,us,7523," 5,621",10014,-999,," 9,999",15907,13453,"13,229",3184
