DATE,sport, surface ,competition_level, Gender Cat ,SEASON,weatherCond,Venue Type,team_name,coach, League /,equipment brand, scoringMethod ,Time Slot,official count,broadcast net, attendance ,ticket £?,Game Time Min/,Possession %, Fouls ,shots,pass_accuracy_%,Yards,ERRORS,sponsorship £k/
"Aug 10, 2022",basketball,Synthetic,SEMI-PRO,WOMEN,Pre-Season, HOT ,indoor,Lions,rookie,b-League,Nike,SETS,Evening,5,SKY,"17,075",£4741,9671," 6,556"," 3,502",£2894,14812,10227,19834,11328
30/12/2021,tennis,road,semi-pro,Women,PRE-SEASON,HOT,indoor,Bears,interim,,ADIDAS, points ,MORNING,5,nbc,1449,11255,14830,19909,6434,16312,"18,054","17,207",9648,10088
,,Indoor, Pro ,women, regular ,Snowy,INDOOR,wolves,Veteran,B-League,adidas,RUNS,missing,2,bbc,519," 8,866",,11859,13816,8269,£12119,15396,12796,10356
24/08/2021,TENNIS,Synthetic,Amateur, men ,regular,snowy,INDOOR,Sharks,INTERIM,a-League,missing,points,EVENING,1,Sky,16896,£18277,14515,missing,£4393,16373,3554,-999,NA,"14,867"
06/05/2023,basketball,NA,AMATEUR,Men,pre-Season,Snowy,INDOOR,sharks,-999,,NIKE,, afternoon ,3,espn,2670,£9246," 5,932",£19547,NA,NA,"10,741",18339,"10,704"," 3,698"
14/12/2023,cricket,grass,amateur,mixed,NA, windy ,missing,SHARKS,interim,c-League,wilson,points,afternoon,1,espn,NaN,14223,14103,8075,"16,945",345," 8,066",11607,£4099,412
15/11/2021,football,grass,amateur,men,regular,WINDY,indoor,Lions,rookie,B-League,nike,POINTS,Afternoon,-999,missing,7256,missing,11408," 5,823",14028,,7680,12125,NaN,16814
05/05/2022, basketball ,NaN,Pro,Women,PRE-SEASON,snowy,INDOOR,lions,,,nike,runs,afternoon,5, espn ,,"11,005",£15050," 9,477",7373,643,13056,15668,10656," 2,496"
NA,running,SYNTHETIC,international,men,Regular,HOT, indoor ,BEARS,rookie,c-League,nike,points,Afternoon,5,NBC,19195,£4388,"17,202",7315,16255,5341,461,£5171,17786," 9,637"
"Feb 04, 2022",cricket,Road,semi-Pro,Men,pre-season,snowy,OUTDOOR,NaN,rookie, a-League ,nike,Runs,evening,3,Nbc,7287,3590,2104,6060,5871,6876,6367,"14,632",18577,17547
"Dec 14, 2022",Football,CLAY,international,Men,pre-season,WET,indoor,lions,interim,b-league,nike,goals,morning,5,Sky,7680,15201,19792,NaN,-999,18169,£7821,"17,294",6435," 4,688"
2023-07-28,rugby,Indoor,Amateur,women,Pre-Season,WET,OUTDOOR, WOLVES ,veteran,A-League,nike,Points,afternoon,2,espn,478,7571,£378,8434,4312,10854,7945,18037,NaN,£18540
2023-08-03,TENNIS,ROAD,international,mixed,pre-season,Windy,indoor, LIONS ,veteran, C-League ,WILSON,NA,NA,5,-999,,£16860,6905,£6482,NA,13822,£2640,£9481," 1,654",missing
2023-05-01,basketball,hardcourt,NA,mixed,regular,Snowy,outdoor,tigers,veteran, A-LEAGUE ,nike,SETS,evening,5, bbc ,NA,,12869,3354,9489,3915,280,14530," 2,347",5918
2022-11-19,Basketball,Indoor,international,women,regular,windy,Indoor,tigers,rookie,a-league,nike,sets,morning,2,SKY,13761,16266,8176,14819,£16395,NA," 4,157",NaN,£2514,7606
NA,running,CLAY,semi-pro,NaN,PLAYOFFS,wet,indoor,lions,veteran, c-league ,adidas, goals ,afternoon,1,bbc,2044," 4,751",missing,£4830,16881,14167," 6,343",1044,5803,2919
24/08/2023,football, hardcourt ,AMATEUR,Men,Pre-Season,Hot,Indoor,eagles,veteran,c-league,NaN,goals,missing,5,Sky,7331,NA,£3606,5208,missing,13875,"11,459",14402,5143,NaN
2023-06-20, CRICKET ,synthetic, amateur ,mixed,regular,hot, indoor ,Bears,interim,c-league,NA,runs,afternoon,1,Bbc,5570,£9769,8574,14067,£14325,£9848,14792,13585,910,7765
01/12/2023,CRICKET,clay,Semi-Pro,mixed,regular, dry ,outdoor, wolves ,rookie,a-League,nike,points,morning,2,NaN,6956,18710,£7921,£2478,£6196,NA,8380,£14652," 7,411",£6630
19/05/2022,missing,indoor,International,MEN,pre-season,Snowy, OUTDOOR ,Tigers,rookie,a-league,ADIDAS,POINTS, evening ,4, NBC ,£10956,"19,668"," 6,787","10,083",10301," 9,889",6263,7499,4613,10597
2022-09-23,basketball,Road,INTERNATIONAL,mixed,PLAYOFFS,windy,outdoor,bears,VETERAN,c-league,Adidas,runs,Night,2,sky,-999," 3,415",14405,4724,17867,£19368,19836,10117,missing,"12,239"
