 date ,Device,OPERATING SYSTEM,Processor Brand,form factor, release yr band ,market_segment,manufacturer/,CONNECTIVITY,SCREEN TYPE,energy_rating,Warranty Length,Colour,price tier,user profile,UPGRADE ELIG,PRICE £,ramGb,Ssd Gb,Battery Mah,weightG, ports ,CPU GHZ,gpu tflops,launch_score,Units Sold K
13/07/2024,server,Linux,-999,2-In-1, 2024+ ,Gaming,acer,bluetooth,missing,a,2Y,grey,flagship,student,YES,£12235,5856,2017,£1567,£17042,8507,6094,14055,18,643
11/08/2024,server,-999,amd,ULTRABOOK,2018-20,education,dell,ethernet,NA,c,5y,GREY,flagship, student , yes ,453,17569,-999,£13750,£18009,£4927,875,14119,NA,7168
2021-10-13,robot,windows, apple ,MINI PC,2021-23,enterprise,HP,5g,mini-led,C,1y,blue,premium,student,no,11140,18519,19139,£387,19012,3187,£11799,6913,"19,601",5662
"Jul 29, 2024",smartphone,Chromeos,apple,mini pc,2021-23,consumer,acer,Ethernet,LCD,-999, no_warranty ,blue,budget,creator,yes," 4,013","16,092",13182,£18927,7858,7131,"15,143",19341,16487,16922
07/09/2024,ROBOT,Chromeos,APPLE,ultrabook, 2015-17 ,enterprise,DELL,BLUETOOTH,lcd,a,5Y,blue,premium,NA,Yes,,7668,14188,"11,193",8857,7315,19767," 3,375","17,951",16663
02/01/2024,laptop,Chromeos,intel,ultrabook,2018-20,CONSUMER,lenovo,ETHERNET,E-Ink,missing,noWarranty, grey ,MID-RANGE,NaN,no," 4,709",£4557,11406,7377,9826,"19,695",,19813,3535,£3506
27/07/2023,drone,missing,apple,NA,<2015,gaming,acer,Ethernet,NA,NA,5Y,BLACK,mid-range,gamer,,"13,407",NA,NaN,NaN,9062,NaN,£2242," 3,041",NaN,3438
"Apr 07, 2023",Robot,Chromeos,intel, ULTRABOOK ,2018-20,NaN,acer, wi-Fi ,missing,b,1Y,Grey,budget,creator,yes,-999,12448,-999,14222,£4949,14786,11584," 3,255",-999,16769
2021-05-11, Drone ,chromeos,Intel, Mini Pc ,NaN,NA,lenovo,WI-FI,Lcd,d,NO WARRANTY,BLUE,Premium,student,missing,15220,8437,NaN," 2,881",18515,NA,10539,£6325,NaN," 6,207"
2023-02-03,Smartphone,NaN,Intel, desktop ,2021-23,NaN,Acer,bluetooth,mini-Led,C,NO WARRANTY,grey,Premium,,YES,16917,16362," 1,333",6707,missing,5707,7884,£3916,13952,16914
2021-05-23,drone,Android,Amd,mini pc,<2015,Gaming,ACER,wi-fi,mini-led,A,5Y,silver,MID-RANGE,professional,Yes,12500,missing,14136,7748,12072,19190," 9,690",16836,£14780,10303
2022-07-21,NA,LINUX,NaN,2-in-1,2018-20,gaming,Lenovo,ethernet,oled,C,No Warranty,BLACK, flagship ,gamer,no,," 1,678",£16,7565,£9552,NA,13331,£8571,19491,   768
25/03/2021,ROBOT,windows,apple, miniPc ,2021-23,enterprise,missing,bluetooth,e-Ink,a,3y,grey,budget,creator,missing,£15891,15481,13711,-999,11332,17719,3908,"10,509",903,16463
09/01/2021,Smartphone,WINDOWS,amd,missing,2015-17,enterprise,Dell,wi-fi,oled,c,1y,grey,Flagship,Professional,yes,missing,"19,791",£8136,£11830,11352,693,£10705,11106," 1,107",394
2021-11-17,Laptop,linux,qualcomm, miniPc ,2018-20,consumer,lenovo,wi-fi,E-INK,c,NaN,white,PREMIUM,professional,yes,   701,12122,,£16609,£12476,8649,£1184,-999,1739,5736
07/08/2024,smartphone,LINUX,missing,NA,2024+,Enterprise,lenovo,ethernet,lcd,d,1y,silver,mid-Range,student,yes,,13641,NaN,2778,,"18,632",5905,£190," 7,341",2292
24/08/2024,NaN,android,Apple, mini_pc ,2015-17,gaming,-999,5g,lcd,B,5y,White,budget,professional,no,14811,2549,10639,2317,£1026,12665,6180,13758,14495,"18,219"
2023-02-15,SMARTPHONE,Macos,NA, mini pc ,<2015,education,APPLE,Wi-Fi,E-INK,b,3Y,grey,mid-range,GAMER,yes,11119,1226,18876,457,"10,734",16677,£16521,13391,10064,10432
2024-05-02,drone,-999, qualcomm ,ULTRABOOK,2021-23,enterprise,NaN, wi-fi ,oled, a ,5y,GREY,FLAGSHIP,gamer,no,£12470,1736," 9,428",£8379," 7,924",18129,10948,10863,3162," 6,897"
11/03/2023,tablet, Chromeos ,-999,Ultrabook,<2015,enterprise, Lenovo ,bluetooth,E-Ink,missing,NA, Black ,premium,creator,no,£8146,"14,422",18685,£5219,£19133,£12448,17323,missing,6412,13355
-999,drone,Macos,apple,2-In-1,2015-17,enterprise,ACER,5g,,b,5y,silver,-999,missing,no,"15,047",£19484,11996,15474," 1,309",   491,NaN,6349,8261," 3,715"
NA,Robot,missing,intel,2-in-1, 2015-17 ,enterprise,Asus, Ethernet ,mini-led,D,2y,NA,budget,professional,yes,15644,15746," 4,368",1255,10025,£6777,559,9946,£7211,£18939
13/06/2021,LAPTOP,ios,,DESKTOP,NA,Enterprise,apple,bluetooth,Mini-Led,b,3y,Black,mid-range, professional ,Yes,10286,7116,7709,   149,5917,£2287,15428,11785,12812,9384
-999,SERVER,android,amd,Mini Pc,<2015,enterprise,acer,,-999,d,2y,-999,Premium,-999,yes,6029,16478,missing,£19802,9101," 9,206",£13828," 7,028",4181,5539
2021-05-22,robot,windows,QUALCOMM,desktop,2024+, consumer ,hp, 5g ,oled,a,no_warranty,,flagship,creator,No,13680,13504,-999,"10,762",1808,missing,7029,"10,680",5502,4992
2022-08-25,drone,missing,intel,Mini Pc,<2015,missing,asus,wi-Fi,mini-led, a ,5y,BLACK,mid-range,creator,no,£5089,17143,missing,£17881,"12,359","10,750","10,261",18605,12370,"13,950"
NaN, DRONE ,ANDROID,qualcomm, ultrabook ,2024+,NaN,Apple,5g,lcd,C,2Y,white,Premium,missing,missing,2899,12472,8457," 4,833",£10305,2054,£5126,    23,£7617,5217
2022-07-28,tablet,MACOS,missing,ULTRABOOK,<2015,missing, dell ,5g,mini-Led,b,1y,NA,flagship,CREATOR,NO," 8,321",£9884,10579," 7,021",18777,7645,10736,12036,19090,£8127
