DATE, transport mode , purpose , Class ,TICKET TYPE,bookingChannel,airline/Carrier,loyaltyTier, seat_preference ,accom_type,continent,Visa Required,Season,travel insurance,currency,Duration Band,distance_km,co₂_kg, trip cost £ ,DAYS AWAY, stops ,Layover H,bags,Delay Min,travel_speed_km/h,LOYALTY POINTS
"Aug 29, 2022",plane,business,premium,one-way, Walk-In , emirates ,missing,window,resort,N. AMERICA,no,low,BASIC,jpy,1-2w,2109,   439," 7,128","16,893",388," 2,417","18,673",12278,18060,11153
,train,STUDY,business,open,APP,qatar,platinum,aisle,couchsurf,Europe,yes,low,none,AUD,>1m,16952,6684,    80,12759,14656,5029,9622," 3,164",£16628,2805
2024-09-17, Car ,RELOCATION,premium,one-way,AGENT,emirates, bronze , bulkhead ,NA, asia ,-999,LOW,comprehensive,jpy,3-7d,missing,7012,3406,10467,£8433,14726,"11,568",13608,£7538,14021
2021-08-05,car,holiday,premium,open,Online,easyjet,BRONZE,AISLE,hotel,europe,yes,shoulder,missing,NaN,1-2w,17858,12383,NA,10166,14862,10562,7003,8038,13749," 8,039"
14/07/2022,NA,backpacking,NaN,Return,ONLINE,NA,gold,Bulkhead,HOTEL, n. america ,yes,shoulder,missing,usd,3-7d,,£6077,16236,-999,2848,5649,6817,£5822,16733,£19624
12/02/2024,Bike,holiday,economy,OPEN,WALK-IN,qatar,NA,NaN,airbnb,OCEANIA,no,low,comprehensive,gbp,2-4W,NaN,7761,15638,16280,-999,missing,£17665,7935,11177,5886
2021-07-23,car,business, first ,missing,walk-In,lufthansa,gold,-999,resort,S. AMERICA,yes,HIGH,NaN,aud,<3d,,18433,17458,12029,3545,2489," 4,774",£4207,12214,17754
2023-08-31,boat,backpacking,Business,one-way,app,lufthansa,GOLD,window,Hostel,s._america,yes,missing,,USD,missing,12371,11830,6204,16196,4753,19524,19944,2960,£12598,NA
02/11/2023,boat,event,economy,open,agent,EASYJET,Silver,NaN,resort,S. America,yes,shoulder,none,gbp,1-2w,8187,286,931,,1042,5403,-999,529,£8959,9512
01/05/2021,missing,backpacking,ECONOMY,open,walk-In,emirates,gold,aisle,couchsurf,S. AMERICA,Yes,low,-999,aud,<3D,1570,13245,9189,3830,18528,9116,NA,-999,NaN," 5,315"
NaN,Plane,relocation,Economy,-999,Agent,lufthansa,gold,bulkhead,resort,OCEANIA,yes,NA,BASIC,jpy,2-4W,19531,8509,8351,9863,"14,267",17930,1035,15126,,2895
28/11/2024,Train,business,premium,NaN,agent,,silver,BULKHEAD,,Oceania,no,high,none,aud,>1m,£13796,£13140,16583,-999,12966," 8,303",£15253,3449,19692," 5,745"
2022-02-24,Boat,study,FIRST,ONE-WAY,agent,LUFTHANSA,platinum,Window,hotel,oceania,Yes,SHOULDER,Comprehensive,gbp,<3d,,1259,£15237,NaN,£2218,17798,2623,-999,-999,11633
