 date ,Condition,region/,season,TEMPERATURE UNIT,forecast_provider,alertLevel/, time_of_day ,Cloud Cover, wind_direction /,uvIndexCategory,precip_type,humidity category, visibility band ,stormName/, day/Night , Temperature °C ?,temperature °f,humidity_%,wind speed kph,rainfallMm, Pressure Hpa ,visibility_km, DEWPOINT °C ,feelslike_°c,snowfall_cm
2024-02-26,rainy,missing,winter,KELVIN,BBC,NA,morning,partly cloudy,se,low,Rain,comfortable,MODERATE,Corrie,day,15906,15073,   220,missing,1583,missing,missing,£7929,"10,999",£10740
03/11/2023,stormy,MIDLANDS,NaN, fahrenheit ,weather.com,-999,night,overcast,NaN,Extreme,missing,dry,,Eunice,NIGHT,1586,1908,£5380,18147,17910,£3025,1265,8963,missing,19003
NaN,sunny,inland,Summer,celsius,ACCUWEATHER,None,afternoon,overcast,Se,moderate,snow,comfortable,MODERATE, franklin ,night,5193,7473,17705,,"11,040",16907," 9,570",,"15,917",7710
22/05/2023,Sunny,Inland,Spring,fahrenheit,missing,AMBER,-999,OVERCAST,sw,Moderate, rain , Oppressive ,POOR,eunice,Night,-999,9543,15409,£7469,18910,16186,6420,£7184,15418,12987
24/03/2022,windy,north,Autumn,Celsius,NA,NONE, evening ,mostlyCloudy,missing, Low ,,oppressive,Poor,eunice,NA,7411," 6,882",19451,£455,17939,10872,£3790,£1900,17046,14185
22/12/2021,SLEET,WEST,Autumn,Kelvin,MET OFFICE,yellow,morning,OVERCAST,n,Extreme,rain,comfortable,poor,BARRA,Night,NA,£12800,£19514,4636,18232," 3,562",£10157,"13,537",5970,NA
19/08/2023,Sleet,South, Summer ,celsius,noaa,red,afternoon,Mostly Cloudy,w, high ,sleet,comfortable,Good,dudley,Day,11353,£19480,5687," 3,111",£10561,16741,16445,NaN,missing,11415
2023-02-20,sleet,coastal,autumn,kelvin,NaN,red,night,partly cloudy,ne,missing,sleet,DRY,POOR,-999,-999,£8816,8417,13186,4307,10465,£13074,1424,£3290,NaN,£17721
07/06/2022,Sleet,west,WINTER,kelvin,noaa,Amber,afternoon,mostly_cloudy,s,LOW,Sleet,comfortable,poor,arwen,Night,18707,17472,NA,NA,10433,18936,7476,15637,13454,NaN
"Mar 19, 2022",sleet,south,Autumn,FAHRENHEIT,accuweather,amber,afternoon,clear,n,HIGH, none ,comfortable, poor ,Eunice,Night,£11669,2711,5736,£18036,-999,14002,NA,NA,£5299,11744
2022-09-18,snowy,south,autumn,celsius,NOAA,none,afternoon,Mostly Cloudy,S, Low ,snow,Humid,good,NaN,night,4222,5198,10471,19896,16610,19349,10848,9021," 7,106",11105
2023-05-10,FOGGY,coastal,WINTER,celsius,met_office,none,afternoon,overcast,S,,snow,dry,excellent,-999,night,missing,-999,£17391,7278,9027,-999,,7727,missing,"17,515"
2024-11-05,sunny,NaN,autumn,celsius,ACCUWEATHER,red,morning,Overcast,SE,High,rain,oppressive,MODERATE,arwen,NIGHT,NaN,3695,15222,£13534,17556,£14108,£18138,£18213,£2912,5258
09/01/2021,Cloudy,MIDLANDS,Spring,fahrenheit,Noaa,RED,night,NA,e,extreme,rain,humid,GOOD,arwen, night ,"15,354",13102,13467,NA," 4,610",£3079,£2805,7806,14070,9554
2021-03-29,RAINY,north,spring,kelvin,Met Office,Yellow,afternoon,mostlyCloudy,-999,low,none,Oppressive,missing,FRANKLIN,day," 6,709",547,13753,,missing,£12569,8210,"11,482",6118,3626
,SUNNY,midlands,autumn,Kelvin,bbc,NONE,morning,missing,w,low,snow,comfortable,moderate,ARWEN,-999,£6001," 3,314",17714,5792,16812,£17155,17910,10787,14143,missing
01/06/2023,sleet,East,spring, celsius , bbc ,,evening,Partly Cloudy,e,HIGH,snow,COMFORTABLE,good,arwen,DAY,14997,18304,£13220,-999,19316,NA,"12,000",£9224,1359,990
NA,RAINY,coastal,Autumn,Celsius,bbc,yellow,missing,NaN,SE,missing,HAIL,-999,moderate,arwen,Night,7482,6288,7648,6420,9878," 5,378"," 6,257",-999,£11504,18848
27/11/2023,Sunny,coastal,AUTUMN,fahrenheit,missing,Amber,afternoon,NA,w, low ,snow,Comfortable,POOR,Corrie,day,£789," 4,780",£13868,"15,097",10202,490,£18389," 7,855",missing,10143
2023-12-06,stormy,east,winter,kelvin,accuweather,red,afternoon,missing,missing,extreme,hail,oppressive,good,NaN, NIGHT ,14919,9666,7960,17886,18045,3896,13189,654,2009,
14/04/2022,sunny,West, Winter ,NaN,weather.com,yellow,night,CLEAR,SE,veryHigh,sleet,humid,missing,barra,day,-999,£16319,NA,missing,£8937,£9736,8187,£11229,missing,12823
23/09/2022,windy,MIDLANDS,winter,FAHRENHEIT,BBC,none,Afternoon,partly_cloudy,e,moderate,sleet,DRY,MODERATE,,Night,4227,-999,NaN,NaN,£18918,£4618,7059,8557,12417,12600
14/12/2023,Stormy, South ,winter,Celsius,Noaa,RED,Afternoon,OVERCAST,S,moderate, sleet ,humid,-999,corrie,NA,9842,8655,£2063,16814,543,£16880,£9917,"11,831",£7121,13671
2024-10-24,sleet,north,Summer,Kelvin,weather.com,yellow,afternoon,OVERCAST,Se,moderate,,dry,EXCELLENT,arwen,-999,1764,£5068,-999,15649,9603,£6365,£11501,,69,£12600
12/09/2021,NA,coastal,SPRING,fahrenheit,missing,AMBER,missing,,E,NA,rain,dry,moderate,Arwen,day,£6778,NaN,missing,9346,missing,10534,missing,10539,NA," 2,150"
15/04/2024,NaN,coastal,WINTER,kelvin,Weather.com,none,afternoon,overcast,ne,missing,,DRY,veryPoor,missing,day,"10,684",11528,18463,7721,9158,15490,18579,18757,"15,896",NaN
16/12/2024,sleet,NORTH,NaN,celsius,MET OFFICE,YELLOW,MORNING,NA,w,extreme,NA,NaN,POOR,dudley,missing,£10275,18422,,£1770,19738,NaN,17640,123," 6,674",NA
2022-10-12, windy ,WEST,SUMMER,KELVIN, bbc ,yellow,missing, Overcast ,missing,low,HAIL,comfortable,Moderate,franklin,day,6085,£10905,3442,13229,11696,7636,£16754,5555,£3360,10726
"Jan 05, 2024",foggy,Coastal,Autumn,KELVIN,noaa,RED, morning ,partly_cloudy,Se,HIGH,RAIN,Dry,veryPoor,barra,day,13924,£74,£14909,1700,6828,"15,116",14489,13706,17978,£14339
06/06/2022,windy,COASTAL,summer,kelvin,Met Office,red,Morning,mostlyCloudy,e,low, rain , DRY ,GOOD,eunice,Day,5284,NA,1191," 9,498",12500,12722,"15,241",12525,"15,827",£4261
2023-12-10,SNOWY,west,autumn,,metOffice,amber,morning,OVERCAST,sw,very high,hail,Comfortable,VERY POOR,eunice,night,NaN," 8,692",7484,1483,1964,11797,17845,18431,13781,-999
2024-08-10,WINDY,east,missing,fahrenheit, bbc ,yellow,Afternoon,OVERCAST,s,extreme,hail,dry,poor,NaN,day,11274,147,13516,826,13954,£16322,£15438,NA,,£11874
missing,Stormy,WEST,summer,CELSIUS,BBC,NONE,night,partly cloudy,S,Moderate,sleet,humid,moderate,dudley,DAY,17113,15640,"14,739",NA,NaN,6554,5413,,"17,647",NaN
29/02/2024,rainy,North,Autumn,kelvin,Noaa,AMBER,missing,MOSTLY CLOUDY,se,low,rain,HUMID,Excellent,CORRIE,day,9974,3822,14316,11698,NaN,8195,"17,641",5893,"18,301",14229
2024-03-04,cloudy,north,Spring,celsius,bbc,amber,missing,mostlyCloudy,sw,veryHigh,sleet,dry,moderate,Barra,NaN,4275,19964,19633,1835,NA,8885,missing,878,£18075,"16,241"
13/12/2021,FOGGY,Coastal,Spring,Kelvin,-999, RED ,Morning,clear,sw,low,NaN,dry,,FRANKLIN,day,8752,9691,£10401,15281," 1,611",7050,8150,9972,,NA
2021-03-03,NA,West,autumn,fahrenheit,WEATHER.COM,NONE,afternoon,Clear,NA,LOW,rain,missing,Very Poor,eunice,day,"13,610",9886,-999,£10292,4108,359,3306,13742,£9544,8885
2021-07-25,windy,midlands,autumn,Kelvin,met_office,RED,NIGHT,Mostly Cloudy, n ,extreme,rain, humid ,Good,FRANKLIN,day,£8577,18301,17650,8380,18889,9770,3193,missing,    51,14747
17/03/2024,stormy, EAST ,autumn,KELVIN,metOffice,RED,evening,CLEAR,Ne,extreme,rain,dry,Poor,arwen,Night,£18910,12402,1927,18118,"13,508",    95,4228,18977,1007,9714
19/10/2023,windy,NA,Winter,KELVIN,weather.com,amber,-999,mostly_cloudy,w,missing,,dry,Very Poor,Arwen,NIGHT,£4166,6227,18847,19553,2739,8836,7297,9979,14938," 7,227"
