Event_Date,Group,Subgroup,Value,X,Y
2024-04-15,0012,Alpha,-10,1,-0.8
2024-04-15,0012,Alpha,0,2,2.4
2024-04-15,0012,Alpha,10,3,5.6
2024-04-15,0012,Alpha,20,4,8.8
2024-04-15,0012,Alpha,30,5,12
2024-04-15,0012,Alpha,40,6,15.2
2024-04-15,0012,Alpha,,7,
2024-04-15,0012,Alpha,1000,8,209.6
2024-04-15,0012,Beta,-10,9,8.799999999999999
2024-04-15,0012,Beta,0,10,12
2024-04-15,0012,Beta,10,11,15.2
2024-04-15,0012,Beta,20,12,18.4
2024-04-15,0012,Beta,30,13,21.6
2024-04-15,0012,Beta,40,14,24.8
2024-04-15,0012,Beta,,15,
2024-04-15,0012,Beta,1000,16,219.2
2024-04-15,East,Alpha,-10,17,18.4
2024-04-15,East,Alpha,0,18,21.599999999999998
2024-04-15,East,Alpha,15,19,24.8
2024-04-15,East,Alpha,25,20,28
2024-04-15,East,Alpha,35,21,31.2
2024-04-15,East,Alpha,45,22,34.4
2024-04-15,East,Alpha,,23,
2024-04-15,East,Alpha,1005,24,228.8
2024-04-15,East,Beta,-10,25,28
2024-04-15,East,Beta,0,26,31.2
2024-04-15,East,Beta,15,27,34.4
2024-04-15,East,Beta,25,28,37.6
2024-04-15,East,Beta,35,29,40.8
2024-04-15,East,Beta,45,30,44
2024-04-15,East,Beta,,31,
2024-04-15,East,Beta,1005,32,238.4
2024-04-15,West,Alpha,-10,33,37.6
2024-04-15,West,Alpha,0,34,40.8
2024-04-15,West,Alpha,20,35,44
2024-04-15,West,Alpha,30,36,47.199999999999996
2024-04-15,West,Alpha,40,37,50.4
2024-04-15,West,Alpha,50,38,53.6
2024-04-15,West,Alpha,,39,
2024-04-15,West,Alpha,1010,40,248
2024-04-15,West,Beta,-10,41,47.199999999999996
2024-04-15,West,Beta,0,42,50.4
2024-04-15,West,Beta,20,43,53.6
2024-04-15,West,Beta,30,44,56.8
2024-04-15,West,Beta,40,45,60
2024-04-15,West,Beta,50,46,63.199999999999996
2024-04-15,West,Beta,,47,
2024-04-15,West,Beta,1010,48,257.6
2024-04-15,Other group,Alpha,-10,49,56.8
2024-04-15,Other group,Alpha,0,50,60
2024-04-15,Other group,Alpha,25,51,63.199999999999996
2024-04-15,Other group,Alpha,35,52,66.4
2024-04-15,Other group,Alpha,45,53,69.6
2024-04-15,Other group,Alpha,55,54,72.8
2024-04-15,Other group,Alpha,,55,
2024-04-15,Other group,Alpha,1015,56,267.2
2024-04-15,Other group,Beta,-10,57,66.39999999999999
2024-04-15,Other group,Beta,0,58,69.6
2024-04-15,Other group,Beta,25,59,72.8
2024-04-15,Other group,Beta,35,60,76
2024-04-15,Other group,Beta,45,61,79.2
2024-04-15,Other group,Beta,55,62,82.39999999999999
2024-04-15,Other group,Beta,,63,
2024-04-15,Other group,Beta,1015,64,276.8
2024-04-15,NA team,Alpha,-10,65,76
2024-04-15,NA team,Alpha,0,66,79.2
2024-04-15,NA team,Alpha,30,67,82.39999999999999
2024-04-15,NA team,Alpha,40,68,85.6
2024-04-15,NA team,Alpha,50,69,88.8
2024-04-15,NA team,Alpha,60,70,92
2024-04-15,NA team,Alpha,,71,
2024-04-15,NA team,Alpha,1020,72,286.4
2024-04-15,NA team,Beta,-10,73,85.6
2024-04-15,NA team,Beta,0,74,88.8
2024-04-15,NA team,Beta,30,75,92
2024-04-15,NA team,Beta,40,76,95.2
2024-04-15,NA team,Beta,50,77,98.39999999999999
2024-04-15,NA team,Beta,60,78,101.6
2024-04-15,NA team,Beta,,79,
2024-04-15,NA team,Beta,1020,80,296
2024-04-15,,Alpha,-10,81,95.2
2024-04-15,,Alpha,0,82,98.39999999999999
2024-04-15,,Alpha,10,83,101.6
2024-04-15,,Alpha,20,84,104.8
